filename	bam_id	indexing_id	sample_id	Count	batch
WTCHG_413843_258184	413843	258184	JIA00032	3053902	2
WTCHG_413843_259172	413843	259172	BHM00074	2911727	2
WTCHG_413843_260160	413843	260160	JIA00047	2731830	2
WTCHG_413843_261148	413843	261148	JIA00053	1100436	2
WTCHG_413843_262136	413843	262136	BHM00139	3205664	2
WTCHG_413843_263124	413843	263124	BHM00140	3361566	2
WTCHG_413843_264112	413843	264112	NCL00020	3388645	2
WTCHG_413843_265195	413843	265195	OAS00004	3312704	2
WTCHG_413843_266183	413843	266183	JIA00019	3738637	2
WTCHG_413843_267171	413843	267171	BHM00113	3100079	2
WTCHG_413843_268159	413843	268159	JIA00048	3566241	2
WTCHG_413843_269147	413843	269147	OAS00008	3201178	2
WTCHG_413843_270135	413843	270135	JIA00055	3048168	2
WTCHG_413843_271123	413843	271123	JIA00054	2767155	2
WTCHG_413843_272111	413843	272111	BHM00126	3276788	2
WTCHG_413843_273194	413843	273194	JIA00003	4060607	2
WTCHG_413843_274182	413843	274182	JIA00025	3242686	2
WTCHG_413843_275170	413843	275170	BHM00114	3717025	2
WTCHG_413843_276158	413843	276158	JIA00050	2719891	2
WTCHG_413843_277146	413843	277146	OAS00011	3161746	2
WTCHG_413843_278134	413843	278134	JIA00057	3150918	2
WTCHG_413843_279122	413843	279122	MUS00011	2932185	2
WTCHG_413843_280110	413843	280110	NCL00008	3099342	2
WTCHG_413843_281193	413843	281193	JIA00004	3424342	2
WTCHG_413843_282181	413843	282181	JIA00028	3061475	2
WTCHG_413843_283169	413843	283169	BHM00116	2925597	2
WTCHG_413843_284157	413843	284157	OAS00012	3499431	2
WTCHG_413843_285145	413843	285145	OAS00015	3082888	2
WTCHG_413843_286133	413843	286133	JIA00059	2171862	2
WTCHG_413843_287121	413843	287121	NCL00016	3151770	2
WTCHG_413843_288109	413843	288109	BHM00125	3151338	2
WTCHG_413843_289192	413843	289192	JIA00015	3712600	2
WTCHG_413843_290180	413843	290180	OAS00001	3281371	2
WTCHG_413843_291168	413843	291168	BHM00117	3636025	2
WTCHG_413843_292156	413843	292156	OAS00018	3351378	2
WTCHG_413843_293144	413843	293144	OAS00034	3335046	2
WTCHG_413843_294132	413843	294132	MUS00015	3785023	2
WTCHG_413843_295120	413843	295120	NCL00017	3537538	2
WTCHG_413843_296108	413843	296108	BHM00162	3971432	2
WTCHG_416540_201191	416540	201191	JIA00016	3330240	2
WTCHG_416540_202179	416540	202179	OAS00005	3488993	2
WTCHG_416540_203167	416540	203167	BHM00118	6565890	2
WTCHG_416540_204155	416540	204155	OAS00019	2971988	2
WTCHG_416540_205143	416540	205143	OAS00035	2915873	2
WTCHG_416540_206131	416540	206131	NCL00001	3323301	2
WTCHG_416540_207119	416540	207119	OAS00023	3574324	2
WTCHG_416540_208107	416540	208107	JIA00062	3194459	2
WTCHG_416540_209190	416540	209190	OAS00013	3361341	2
WTCHG_416540_210178	416540	210178	ORA00001	3312566	2
WTCHG_416540_211166	416540	211166	BHM00127	3422941	2
WTCHG_416540_212154	416540	212154	OAS00022	2628502	2
WTCHG_416540_213142	416540	213142	ORA00013	3540740	2
WTCHG_416540_214130	416540	214130	NCL00003	6815471	2
WTCHG_416540_215118	416540	215118	OAS00037	2751851	2
WTCHG_416540_216106	416540	216106	JIA00063	1336847	2
WTCHG_416540_217189	416540	217189	JIA00001	2875441	2
WTCHG_416540_218177	416540	218177	JIA00034	811	2
WTCHG_416540_219165	416540	219165	BHM00130	3222244	2
WTCHG_416540_220153	416540	220153	OAS00040	3127042	2
WTCHG_416540_221141	416540	221141	ORA00019	3738801	2
WTCHG_416540_222129	416540	222129	NCL00004	3633238	2
WTCHG_416540_223117	416540	223117	OAS00049	3745252	2
WTCHG_416540_224105	416540	224105	NCL00023	3932865	2
WTCHG_416540_225188	416540	225188	JIA00026	3286897	2
WTCHG_416540_226176	416540	226176	JIA00035	3387561	2
WTCHG_416540_227164	416540	227164	BHM00131	2979424	2
