WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_447702_206166	447702	206166	B1012V4	1710230	3
WTCHG_447702_207119	447702	207119	B1039V4	1672410	3
WTCHG_447702_207178	447702	207178	B1012V5	1589484	3
WTCHG_447702_208107	447702	208107	B1039V5	1790762	3
WTCHG_447702_208190	447702	208190	B1012V6	1637400	3
WTCHG_447702_209107	447702	209107	B1012V7	1755487	3
WTCHG_447702_209190	447702	209190	B1039V6	1572799	3
WTCHG_447702_210119	447702	210119	B1017V1	1745601	3
WTCHG_447702_210178	447702	210178	B1039V7	2042056	3
WTCHG_447702_211131	447702	211131	B1017V2	1794452	3
WTCHG_447702_211166	447702	211166	B1021V1	1914978	3
WTCHG_447702_212143	447702	212143	B1017V3	1784769	3
WTCHG_447702_212154	447702	212154	B1021V5	703993	3
WTCHG_447702_213142	447702	213142	B1021V7	1993139	3
WTCHG_447702_213155	447702	213155	B1017V4	1834548	3
WTCHG_447702_214130	447702	214130	B1006V1	1624745	3
WTCHG_447702_214167	447702	214167	B1017V5	1625160	3
WTCHG_447702_215118	447702	215118	B1006V2	1864515	3
WTCHG_447702_215179	447702	215179	B1017V6	1670092	3
WTCHG_447702_216106	447702	216106	B1006V4	1897762	3
WTCHG_447702_216191	447702	216191	B1018V1	1844369	3
WTCHG_447702_217108	447702	217108	B1018V2	1738536	3
WTCHG_447702_217189	447702	217189	B1006V5	1909511	3
WTCHG_447702_218120	447702	218120	B1018V3	1663764	3
WTCHG_447702_218177	447702	218177	B1006V6	1781405	3
WTCHG_447702_219132	447702	219132	B1018V5	1830979	3
WTCHG_447702_219165	447702	219165	B1006V7	1874829	3
WTCHG_447702_220144	447702	220144	B1018V6	1709716	3
WTCHG_447702_220153	447702	220153	B1033V2	1831358	3
WTCHG_447702_221141	447702	221141	B1033V3	1754965	3
WTCHG_447702_221156	447702	221156	B1018V7	1675161	3
WTCHG_447702_222129	447702	222129	B1033V4	1495226	3
WTCHG_447702_222168	447702	222168	B1022V1	1672619	3
WTCHG_447702_223117	447702	223117	B1033V5	1770259	3
WTCHG_447702_223180	447702	223180	B1022V2	1651304	3
WTCHG_447702_224105	447702	224105	B1033V6	1799074	3
WTCHG_447702_224192	447702	224192	B1022V3	1634568	3
WTCHG_447702_225109	447702	225109	B1022V4	1581505	3
WTCHG_447702_225188	447702	225188	B1033V7	1807839	3
WTCHG_447702_226121	447702	226121	B1022V5	2161641	3
WTCHG_447702_226176	447702	226176	B1035V3	1970366	3
WTCHG_447702_227133	447702	227133	B1022V6	1884482	3
WTCHG_447702_227164	447702	227164	B1035V4	1709511	3
WTCHG_447702_228145	447702	228145	B1022V7	1832379	3
WTCHG_447702_228152	447702	228152	B1013V1	1538279	3
WTCHG_447702_229140	447702	229140	B1013V3	1630976	3
WTCHG_447702_229157	447702	229157	B1024V1	1581781	3
WTCHG_447702_230128	447702	230128	B1013V5	1410995	3
WTCHG_447702_230169	447702	230169	B1024V2	1681485	3
WTCHG_447702_231116	447702	231116	B1013V6	1716717	3
WTCHG_447702_231181	447702	231181	B1024V3	1399008	3
WTCHG_447702_232104	447702	232104	B1013V7	1758974	3
WTCHG_447702_232193	447702	232193	B1024V4	1756051	3
WTCHG_447702_233110	447702	233110	B1024V5	1770572	3
WTCHG_447702_233187	447702	233187	B1016V1	1757902	3
WTCHG_447702_234122	447702	234122	B1024V6	1923091	3
WTCHG_447702_234175	447702	234175	B1016V3	1796109	3
WTCHG_447702_235134	447702	235134	B1024V7	2011842	3
WTCHG_447702_235163	447702	235163	B1016V4	1654716	3
WTCHG_447702_236146	447702	236146	B1025V1	1897834	3
WTCHG_447702_236151	447702	236151	B1016V5	1626564	3
WTCHG_447702_237139	447702	237139	B1016V6	1537041	3
WTCHG_447702_237158	447702	237158	B1025V2	816527	3
WTCHG_447702_238127	447702	238127	B1020V2	1637011	3
WTCHG_447702_238170	447702	238170	B1025V3	615171	3
WTCHG_447702_239115	447702	239115	B1020V3	1627700	3
WTCHG_447702_239182	447702	239182	B1025V4	1685737	3
WTCHG_447702_240103	447702	240103	B1020V4	1750491	3
WTCHG_447702_240194	447702	240194	B1025V5	1578222	3
