WTCHG	seqID	indexingID	sampleID	count	batch
WTCHG_467589_283168	467589	283168	BHM00180	2741254	4
WTCHG_467589_284156	467589	284156	BHM00181	3472006	4
WTCHG_467589_285144	467589	285144	BHM00184	3014406	4
WTCHG_467589_286132	467589	286132	BHM00185	3110165	4
WTCHG_467589_287120	467589	287120	OAS00021	3230106	4
WTCHG_467589_288108	467589	288108	UCL00014	3292915	4
WTCHG_467589_289191	467589	289191	UCL00016	3661241	4
WTCHG_467589_290179	467589	290179	UCL00019	3067522	4
WTCHG_467589_291167	467589	291167	BHM00170	3357724	4
WTCHG_467589_292155	467589	292155	BHM00183	2978202	4
WTCHG_467589_293143	467589	293143	BHM00187	2045278	4
WTCHG_467589_294131	467589	294131	JIA00076	3322550	4
WTCHG_467589_295119	467589	295119	OAS00055	3182533	4
WTCHG_467589_296107	467589	296107	OAS00059	2809416	4
WTCHG_475040_201190	475040	201190	BHM00174	3430826	4
WTCHG_475040_202178	475040	202178	BHM00175	4191970	4
WTCHG_475040_203166	475040	203166	BHM00176	3231057	4
WTCHG_475040_204154	475040	204154	BHM00177	3367099	4
WTCHG_475040_205142	475040	205142	BHM00179	3161166	4
WTCHG_475040_206130	475040	206130	BHM00188	3350585	4
WTCHG_475040_207118	475040	207118	OAS00025	3319367	4
WTCHG_475040_208106	475040	208106	OAS00032	3000164	4
WTCHG_475040_209189	475040	209189	OAS00057	3671575	4
WTCHG_475040_210177	475040	210177	UCL00020	4126712	4
WTCHG_475040_211165	475040	211165	UCL00023	3928827	4
WTCHG_475040_212153	475040	212153	BHM00198	3193596	4
WTCHG_475040_213141	475040	213141	BHM00199	3872478	4
WTCHG_475040_214129	475040	214129	BHM00208	3337080	4
WTCHG_475040_215117	475040	215117	OAS00073	2764487	4
WTCHG_475040_216105	475040	216105	OAS00078	3298596	4
WTCHG_475040_217188	475040	217188	ORA00032	3277153	4
WTCHG_475040_218176	475040	218176	UCL00022	3955161	4
WTCHG_475040_219164	475040	219164	BHM00141	3055991	4
WTCHG_475040_220152	475040	220152	BHM00178	3719550	4
WTCHG_475040_221140	475040	221140	BHM00190	3594107	4
WTCHG_475040_222128	475040	222128	BHM00196	4034678	4
WTCHG_475040_223116	475040	223116	BHM00197	3311317	4
WTCHG_475040_224104	475040	224104	BHM00202	3943367	4
WTCHG_475040_225187	475040	225187	BHM00205	3720034	4
WTCHG_475040_226175	475040	226175	BHM00207	4956073	4
WTCHG_475040_227163	475040	227163	BHM00224	2984812	4
WTCHG_475040_228151	475040	228151	BHM00227	3550714	4
WTCHG_475040_229139	475040	229139	BHM00193	4134037	4
WTCHG_475040_230127	475040	230127	JIA00077	3847622	4
WTCHG_475040_231115	475040	231115	OAS00069	3260442	4
WTCHG_475040_232103	475040	232103	OAS00070	3677659	4
WTCHG_475040_233186	475040	233186	OAS00077	4101546	4
WTCHG_475040_234174	475040	234174	OAS00083	4056903	4
WTCHG_475040_235162	475040	235162	BHM00191	4928926	4
WTCHG_475040_236150	475040	236150	BHM00201	3437037	4
WTCHG_475040_237138	475040	237138	BHM00206	4032534	4
WTCHG_475040_238126	475040	238126	BHM00211	4397498	4
WTCHG_475040_239114	475040	239114	BHM00212	3056360	4
WTCHG_475040_240102	475040	240102	BHM00213	3422489	4
WTCHG_475040_241185	475040	241185	BHM00216	4439787	4
WTCHG_475040_242173	475040	242173	BHM00229	4319712	4
WTCHG_475040_243161	475040	243161	BHM00238	4138371	4
WTCHG_475040_244149	475040	244149	OAS00080	3283596	4
WTCHG_475040_245137	475040	245137	NCL00035	3771047	4
WTCHG_475040_246125	475040	246125	NCL00058	4136054	4
WTCHG_475040_247113	475040	247113	NCL00043	3701472	4
WTCHG_475040_248101	475040	248101	NCL00044	3592370	4
WTCHG_475040_249196	475040	249196	NCL00029	3520268	4
WTCHG_475040_250184	475040	250184	NCL00030	3347110	4
WTCHG_475040_251172	475040	251172	NCL00032	3794539	4
WTCHG_475040_252160	475040	252160	NCL00034	3593065	4
WTCHG_475040_253148	475040	253148	OAS00063	3478612	4
WTCHG_475040_254136	475040	254136	BHM00154	3383473	4
WTCHG_475040_255124	475040	255124	MUS00007	3122075	4
WTCHG_475040_256112	475040	256112	OAS00041	3393117	4
WTCHG_475040_257195	475040	257195	BHM00146	3866434	4
WTCHG_475040_258183	475040	258183	BHM00157	3425965	4
WTCHG_475040_259171	475040	259171	JIA00024	3190993	4
WTCHG_475040_260159	475040	260159	JIA00039	3105732	4
WTCHG_475040_261147	475040	261147	OAS00029	3686557	4
WTCHG_475040_262135	475040	262135	OAS00046	3837430	4
WTCHG_475040_263123	475040	263123	OAS00048	3110404	4
WTCHG_475040_264111	475040	264111	BHM00149	3497619	4
WTCHG_475040_265194	475040	265194	JIA00070	4245114	4
WTCHG_475040_266182	475040	266182	BHM00158	4049896	4
WTCHG_475040_267170	475040	267170	JIA00069	3320968	4
WTCHG_475040_268158	475040	268158	JIA00071	3882266	4
WTCHG_475040_269146	475040	269146	OAS00044	3503056	4
WTCHG_475040_270134	475040	270134	UCL00008	3072930	4
WTCHG_475040_271122	475040	271122	BHM00159	2783966	4
WTCHG_475040_272110	475040	272110	BHM00160	3696721	4
WTCHG_475040_273193	475040	273193	BHM00163	4442723	4
WTCHG_475040_274181	475040	274181	BHM00164	3497410	4
WTCHG_475040_275169	475040	275169	BHM00165	3157654	4
WTCHG_475040_276157	475040	276157	BHM00167	3083566	4
WTCHG_475040_277145	475040	277145	BHM00168	2878796	4
WTCHG_475040_278133	475040	278133	BHM00169	3367870	4
WTCHG_475040_279121	475040	279121	BHM00182	2890380	4
WTCHG_475040_280109	475040	280109	JIA00052	4427302	4
WTCHG_475040_281192	475040	281192	OAS00056	4256207	4
WTCHG_475040_282180	475040	282180	BHM00171	3363710	4
WTCHG_475040_283168	475040	283168	BHM00180	3087387	4
WTCHG_475040_284156	475040	284156	BHM00181	3865905	4
WTCHG_475040_285144	475040	285144	BHM00184	3401457	4
WTCHG_475040_286132	475040	286132	BHM00185	3483210	4
WTCHG_475040_287120	475040	287120	OAS00021	3642801	4
WTCHG_475040_288108	475040	288108	UCL00014	3750621	4
WTCHG_475040_289191	475040	289191	UCL00016	4105170	4
WTCHG_475040_290179	475040	290179	UCL00019	3477366	4
WTCHG_475040_291167	475040	291167	BHM00170	3772085	4
WTCHG_475040_292155	475040	292155	BHM00183	3394788	4
WTCHG_475040_293143	475040	293143	BHM00187	2294827	4
WTCHG_475040_294131	475040	294131	JIA00076	3769121	4
WTCHG_475040_295119	475040	295119	OAS00055	3578461	4
WTCHG_475040_296107	475040	296107	OAS00059	3160782	4
WTCHG_475041_201190	475041	201190	BHM00174	3540846	4
WTCHG_475041_202178	475041	202178	BHM00175	4276890	4
WTCHG_475041_203166	475041	203166	BHM00176	3322950	4
WTCHG_475041_204154	475041	204154	BHM00177	3445142	4
WTCHG_475041_205142	475041	205142	BHM00179	3236874	4
WTCHG_475041_206130	475041	206130	BHM00188	3413031	4
WTCHG_475041_207118	475041	207118	OAS00025	3402270	4
WTCHG_475041_208106	475041	208106	OAS00032	3099653	4
WTCHG_475041_209189	475041	209189	OAS00057	3804235	4
WTCHG_475041_210177	475041	210177	UCL00020	4223246	4
WTCHG_475041_211165	475041	211165	UCL00023	4016964	4
WTCHG_475041_212153	475041	212153	BHM00198	3283041	4
WTCHG_475041_213141	475041	213141	BHM00199	3965374	4
WTCHG_475041_214129	475041	214129	BHM00208	3438818	4
WTCHG_475041_215117	475041	215117	OAS00073	2847388	4
WTCHG_475041_216105	475041	216105	OAS00078	3405434	4
WTCHG_475041_217188	475041	217188	ORA00032	3387243	4
WTCHG_475041_218176	475041	218176	UCL00022	4021816	4
WTCHG_475041_219164	475041	219164	BHM00141	3148369	4
WTCHG_475041_220152	475041	220152	BHM00178	3810329	4
WTCHG_475041_221140	475041	221140	BHM00190	3674539	4
WTCHG_475041_222128	475041	222128	BHM00196	4134048	4
WTCHG_475041_223116	475041	223116	BHM00197	3410413	4
WTCHG_475041_224104	475041	224104	BHM00202	4052764	4
WTCHG_475041_225187	475041	225187	BHM00205	3827463	4
WTCHG_475041_226175	475041	226175	BHM00207	5026389	4
WTCHG_475041_227163	475041	227163	BHM00224	3060210	4
WTCHG_475041_228151	475041	228151	BHM00227	3650385	4
WTCHG_475041_229139	475041	229139	BHM00193	4216206	4
WTCHG_475041_230127	475041	230127	JIA00077	3936174	4
WTCHG_475041_231115	475041	231115	OAS00069	3365323	4
WTCHG_475041_232103	475041	232103	OAS00070	3736125	4
WTCHG_475041_233186	475041	233186	OAS00077	4190041	4
WTCHG_475041_234174	475041	234174	OAS00083	4134452	4
WTCHG_475041_235162	475041	235162	BHM00191	5000995	4
WTCHG_475041_236150	475041	236150	BHM00201	3541137	4
WTCHG_475041_237138	475041	237138	BHM00206	4148132	4
WTCHG_475041_238126	475041	238126	BHM00211	4504454	4
WTCHG_475041_239114	475041	239114	BHM00212	3154676	4
WTCHG_475041_240102	475041	240102	BHM00213	3502241	4
WTCHG_475041_241185	475041	241185	BHM00216	4542551	4
WTCHG_475041_242173	475041	242173	BHM00229	4415001	4
WTCHG_475041_243161	475041	243161	BHM00238	4261684	4
WTCHG_475041_244149	475041	244149	OAS00080	3380942	4
WTCHG_475041_245137	475041	245137	NCL00035	3847326	4
WTCHG_475041_246125	475041	246125	NCL00058	4227063	4
WTCHG_475041_247113	475041	247113	NCL00043	3796503	4
WTCHG_475041_248101	475041	248101	NCL00044	3653189	4
WTCHG_475041_249196	475041	249196	NCL00029	3580971	4
WTCHG_475041_250184	475041	250184	NCL00030	3406442	4
WTCHG_475041_251172	475041	251172	NCL00032	3904196	4
WTCHG_475041_252160	475041	252160	NCL00034	3681248	4
WTCHG_475041_253148	475041	253148	OAS00063	3535183	4
WTCHG_475041_254136	475041	254136	BHM00154	3475755	4
WTCHG_475041_255124	475041	255124	MUS00007	3204853	4
WTCHG_475041_256112	475041	256112	OAS00041	3466878	4
WTCHG_475041_257195	475041	257195	BHM00146	3935288	4
WTCHG_475041_258183	475041	258183	BHM00157	3483682	4
WTCHG_475041_259171	475041	259171	JIA00024	3233903	4
WTCHG_475041_260159	475041	260159	JIA00039	3165087	4
WTCHG_475041_261147	475041	261147	OAS00029	3758275	4
WTCHG_475041_262135	475041	262135	OAS00046	3906427	4
WTCHG_475041_263123	475041	263123	OAS00048	3174692	4
WTCHG_475041_264111	475041	264111	BHM00149	3563918	4
WTCHG_475041_265194	475041	265194	JIA00070	4283171	4
WTCHG_475041_266182	475041	266182	BHM00158	4133178	4
WTCHG_475041_267170	475041	267170	JIA00069	3405228	4
WTCHG_475041_268158	475041	268158	JIA00071	3950669	4
WTCHG_475041_269146	475041	269146	OAS00044	3577311	4
WTCHG_475041_270134	475041	270134	UCL00008	3151460	4
WTCHG_475041_271122	475041	271122	BHM00159	2856283	4
WTCHG_475041_272110	475041	272110	BHM00160	3771612	4
WTCHG_475041_273193	475041	273193	BHM00163	4575562	4
WTCHG_475041_274181	475041	274181	BHM00164	3573352	4
WTCHG_475041_275169	475041	275169	BHM00165	3269798	4
WTCHG_475041_276157	475041	276157	BHM00167	3154240	4
WTCHG_475041_277145	475041	277145	BHM00168	2965721	4
WTCHG_475041_278133	475041	278133	BHM00169	3439193	4
WTCHG_475041_279121	475041	279121	BHM00182	2972010	4
WTCHG_475041_280109	475041	280109	JIA00052	4520024	4
WTCHG_475041_281192	475041	281192	OAS00056	4355935	4
WTCHG_475041_282180	475041	282180	BHM00171	3463760	4
WTCHG_475041_283168	475041	283168	BHM00180	3156998	4
WTCHG_475041_284156	475041	284156	BHM00181	3955819	4
WTCHG_475041_285144	475041	285144	BHM00184	3452185	4
WTCHG_475041_286132	475041	286132	BHM00185	3550811	4
WTCHG_475041_287120	475041	287120	OAS00021	3743633	4
WTCHG_475041_288108	475041	288108	UCL00014	3837644	4
WTCHG_475041_289191	475041	289191	UCL00016	4183185	4
WTCHG_475041_290179	475041	290179	UCL00019	3541403	4
WTCHG_475041_291167	475041	291167	BHM00170	3858556	4
WTCHG_475041_292155	475041	292155	BHM00183	3483428	4
WTCHG_475041_293143	475041	293143	BHM00187	2354141	4
WTCHG_475041_294131	475041	294131	JIA00076	3849827	4
WTCHG_475041_295119	475041	295119	OAS00055	3676450	4
WTCHG_475041_296107	475041	296107	OAS00059	3263795	4
WTCHG_475042_201190	475042	201190	BHM00174	3452801	4
WTCHG_475042_202178	475042	202178	BHM00175	4209973	4
WTCHG_475042_203166	475042	203166	BHM00176	3247197	4
WTCHG_475042_204154	475042	204154	BHM00177	3385537	4
WTCHG_475042_205142	475042	205142	BHM00179	3172994	4
WTCHG_475042_206130	475042	206130	BHM00188	3365746	4
WTCHG_475042_207118	475042	207118	OAS00025	3332910	4
WTCHG_475042_208106	475042	208106	OAS00032	3015041	4
WTCHG_475042_209189	475042	209189	OAS00057	3699106	4
WTCHG_475042_210177	475042	210177	UCL00020	4140871	4
WTCHG_475042_211165	475042	211165	UCL00023	3950200	4
WTCHG_475042_212153	475042	212153	BHM00198	3223310	4
WTCHG_475042_213141	475042	213141	BHM00199	3879178	4
WTCHG_475042_214129	475042	214129	BHM00208	3363277	4
WTCHG_475042_215117	475042	215117	OAS00073	2778605	4
WTCHG_475042_216105	475042	216105	OAS00078	3309401	4
WTCHG_475042_217188	475042	217188	ORA00032	3299983	4
WTCHG_475042_218176	475042	218176	UCL00022	3969139	4
WTCHG_475042_219164	475042	219164	BHM00141	3075781	4
WTCHG_475042_220152	475042	220152	BHM00178	3737731	4
WTCHG_475042_221140	475042	221140	BHM00190	3602768	4
WTCHG_475042_222128	475042	222128	BHM00196	4029519	4
WTCHG_475042_223116	475042	223116	BHM00197	3329678	4
WTCHG_475042_224104	475042	224104	BHM00202	3963893	4
WTCHG_475042_225187	475042	225187	BHM00205	3744099	4
WTCHG_475042_226175	475042	226175	BHM00207	4971340	4
WTCHG_475042_227163	475042	227163	BHM00224	2993682	4
WTCHG_475042_228151	475042	228151	BHM00227	3568576	4
WTCHG_475042_229139	475042	229139	BHM00193	4134850	4
WTCHG_475042_230127	475042	230127	JIA00077	3859278	4
WTCHG_475042_231115	475042	231115	OAS00069	3267629	4
WTCHG_475042_232103	475042	232103	OAS00070	3696925	4
WTCHG_475042_233186	475042	233186	OAS00077	4112835	4
WTCHG_475042_234174	475042	234174	OAS00083	4066494	4
WTCHG_475042_235162	475042	235162	BHM00191	4945722	4
WTCHG_475042_236150	475042	236150	BHM00201	3457766	4
WTCHG_475042_237138	475042	237138	BHM00206	4050572	4
WTCHG_475042_238126	475042	238126	BHM00211	4427670	4
WTCHG_475042_239114	475042	239114	BHM00212	3068373	4
WTCHG_475042_240102	475042	240102	BHM00213	3432567	4
WTCHG_475042_241185	475042	241185	BHM00216	4454265	4
WTCHG_475042_242173	475042	242173	BHM00229	4347275	4
WTCHG_475042_243161	475042	243161	BHM00238	4147743	4
WTCHG_475042_244149	475042	244149	OAS00080	3301348	4
WTCHG_475042_245137	475042	245137	NCL00035	3775289	4
WTCHG_475042_246125	475042	246125	NCL00058	4158232	4
WTCHG_475042_247113	475042	247113	NCL00043	3703442	4
WTCHG_475042_248101	475042	248101	NCL00044	3607218	4
WTCHG_475042_249196	475042	249196	NCL00029	3546825	4
WTCHG_475042_250184	475042	250184	NCL00030	3364966	4
WTCHG_475042_251172	475042	251172	NCL00032	3813985	4
WTCHG_475042_252160	475042	252160	NCL00034	3608199	4
WTCHG_475042_253148	475042	253148	OAS00063	3488409	4
WTCHG_475042_254136	475042	254136	BHM00154	3401066	4
WTCHG_475042_255124	475042	255124	MUS00007	3123695	4
WTCHG_475042_256112	475042	256112	OAS00041	3399382	4
WTCHG_475042_257195	475042	257195	BHM00146	3877412	4
WTCHG_475042_258183	475042	258183	BHM00157	3438581	4
WTCHG_475042_259171	475042	259171	JIA00024	3188707	4
WTCHG_475042_260159	475042	260159	JIA00039	3120382	4
WTCHG_475042_261147	475042	261147	OAS00029	3703618	4
WTCHG_475042_262135	475042	262135	OAS00046	3845869	4
WTCHG_475042_263123	475042	263123	OAS00048	3121868	4
WTCHG_475042_264111	475042	264111	BHM00149	3505987	4
WTCHG_475042_265194	475042	265194	JIA00070	4260890	4
WTCHG_475042_266182	475042	266182	BHM00158	4064148	4
WTCHG_475042_267170	475042	267170	JIA00069	3330817	4
WTCHG_475042_268158	475042	268158	JIA00071	3899926	4
WTCHG_475042_269146	475042	269146	OAS00044	3511385	4
WTCHG_475042_270134	475042	270134	UCL00008	3076275	4
WTCHG_475042_271122	475042	271122	BHM00159	2791561	4
WTCHG_475042_272110	475042	272110	BHM00160	3714892	4
WTCHG_475042_273193	475042	273193	BHM00163	4487117	4
WTCHG_475042_274181	475042	274181	BHM00164	3507649	4
WTCHG_475042_275169	475042	275169	BHM00165	3186335	4
WTCHG_475042_276157	475042	276157	BHM00167	3087335	4
WTCHG_475042_277145	475042	277145	BHM00168	2895342	4
WTCHG_475042_278133	475042	278133	BHM00169	3380290	4
WTCHG_475042_279121	475042	279121	BHM00182	2912024	4
WTCHG_475042_280109	475042	280109	JIA00052	4451624	4
