WTCHG	lane_id	seq_id	sampleID	count	batch
WTCHG_487925_272110	487925	272110	BHM00258	3487694	5
WTCHG_487925_273193	487925	273193	BHM00259	4980810	5
WTCHG_487925_274181	487925	274181	BHM00260	4065806	5
WTCHG_487925_275169	487925	275169	BHM00261	3566858	5
WTCHG_487925_276157	487925	276157	BHM00271	3585372	5
WTCHG_487925_277145	487925	277145	BHM00274	3189043	5
WTCHG_487925_278133	487925	278133	BHM00272	3319610	5
WTCHG_487925_279121	487925	279121	BHM00277	3524765	5
WTCHG_487925_280109	487925	280109	BHM00278	3380387	5
WTCHG_487925_281192	487925	281192	BHM00280	3577016	5
WTCHG_487925_282180	487925	282180	BHM00285	3455503	5
WTCHG_487925_283168	487925	283168	BHM00286	3577669	5
WTCHG_487925_284156	487925	284156	BHM00287	3539850	5
WTCHG_487925_285144	487925	285144	BHM00288	3488572	5
WTCHG_487925_286132	487925	286132	BHM00290	3346834	5
WTCHG_487925_287120	487925	287120	OAS00072	3421396	5
WTCHG_487925_288108	487925	288108	OAS00082	3350134	5
WTCHG_487925_289191	487925	289191	OAS00084	3827358	5
WTCHG_487925_290179	487925	290179	OAS00087	3389134	5
WTCHG_487925_291167	487925	291167	OAS00088	3481915	5
WTCHG_487925_292155	487925	292155	OAS00090	3318298	5
WTCHG_487925_293143	487925	293143	OAS00091	3359862	5
WTCHG_487925_294131	487925	294131	OAS00092	3397348	5
WTCHG_487925_295119	487925	295119	OAS00100	3010667	5
WTCHG_487925_296107	487925	296107	OAS00108	3433856	5
WTCHG_487926_201190	487926	201190	UCL00017	3091890	5
WTCHG_487926_202178	487926	202178	UCL00027	3212553	5
WTCHG_487926_203166	487926	203166	UCL00028	3207611	5
WTCHG_487926_204154	487926	204154	UCL00029	3130133	5
WTCHG_487926_205142	487926	205142	NCL00045	3350585	5
WTCHG_487926_206130	487926	206130	NCL00047	3407317	5
WTCHG_487926_207118	487926	207118	NCL00048	3281407	5
WTCHG_487926_208106	487926	208106	NCL00052	3054013	5
WTCHG_487926_209189	487926	209189	NCL00058	3290962	5
WTCHG_487926_210177	487926	210177	NCL00059	3234711	5
WTCHG_487926_211165	487926	211165	NCL00061	3197234	5
WTCHG_487926_212153	487926	212153	NCL00062	3139972	5
WTCHG_487926_213141	487926	213141	NCL00063	3307529	5
WTCHG_487926_214129	487926	214129	NCL00064	2823897	5
WTCHG_487926_215117	487926	215117	NCL00066	3244077	5
WTCHG_487926_216105	487926	216105	NCL00068	2863584	5
WTCHG_487926_217188	487926	217188	NCL00070	3151920	5
WTCHG_487926_218176	487926	218176	NCL00071	3205265	5
WTCHG_487926_219164	487926	219164	NCL00072	3271746	5
WTCHG_487926_220152	487926	220152	NCL00073	3100393	5
WTCHG_487926_221140	487926	221140	NCL00075	3267735	5
WTCHG_487926_222128	487926	222128	NCL00076	3184364	5
WTCHG_487926_223116	487926	223116	NCL00077	3392634	5
WTCHG_487926_224104	487926	224104	NCL00078	3139234	5
WTCHG_487926_225187	487926	225187	NCL00080	3319445	5
WTCHG_487926_226175	487926	226175	NCL00082	3354706	5
WTCHG_487926_227163	487926	227163	NCL00083	3053819	5
WTCHG_487926_228151	487926	228151	NCL00088	3138414	5
WTCHG_487926_229139	487926	229139	NCL00089	3185536	5
WTCHG_487926_230127	487926	230127	NCL00090	3024763	5
WTCHG_487926_231115	487926	231115	NCL00092	2935559	5
WTCHG_487926_232103	487926	232103	NCL00093	3036695	5
WTCHG_487926_233186	487926	233186	NCL00094	2793317	5
WTCHG_487926_234174	487926	234174	NCL00095	3487144	5
WTCHG_487926_235162	487926	235162	NCL00096	2834786	5
WTCHG_487926_236150	487926	236150	NCL00097	3309809	5
WTCHG_487926_237138	487926	237138	NCL00098	2839846	5
WTCHG_487926_238126	487926	238126	NCL00099	3019412	5
WTCHG_487926_239114	487926	239114	NCL00100	3240350	5
WTCHG_487926_240102	487926	240102	NCL00101	3279706	5
WTCHG_487926_241185	487926	241185	NCL00102	3160629	5
WTCHG_487926_242173	487926	242173	NCL00103	3283506	5
WTCHG_487926_243161	487926	243161	NCL00106	3325736	5
WTCHG_487926_244149	487926	244149	NCL00107	3256622	5
WTCHG_487926_245137	487926	245137	NCL00108	3079789	5
WTCHG_487926_246125	487926	246125	NCL00109	3310304	5
WTCHG_487926_247113	487926	247113	NCL00111	3130513	5
WTCHG_487926_248101	487926	248101	NCL00113	3210838	5
WTCHG_487926_249196	487926	249196	BHM00203	2461977	5
WTCHG_487926_250184	487926	250184	BHM00204	3291995	5
WTCHG_487926_251172	487926	251172	BHM00215	3271543	5
WTCHG_487926_252160	487926	252160	BHM00217	3094120	5
WTCHG_487926_253148	487926	253148	BHM00218	3051777	5
WTCHG_487926_254136	487926	254136	BHM00220	3168765	5
WTCHG_487926_255124	487926	255124	BHM00225	3101348	5
WTCHG_487926_256112	487926	256112	BHM00231	3080030	5
WTCHG_487926_257195	487926	257195	BHM00233	4901791	5
WTCHG_487926_258183	487926	258183	BHM00235	3169371	5
WTCHG_487926_259171	487926	259171	BHM00241	3903328	5
WTCHG_487926_260159	487926	260159	BHM00242	2884463	5
WTCHG_487926_261147	487926	261147	BHM00245	3093196	5
WTCHG_487926_262135	487926	262135	BHM00246	3089983	5
WTCHG_487926_263123	487926	263123	BHM00247	3475198	5
WTCHG_487926_264111	487926	264111	BHM00248	3319947	5
WTCHG_487926_265194	487926	265194	BHM00249	3468518	5
WTCHG_487926_266182	487926	266182	BHM00250	3397195	5
WTCHG_487926_267170	487926	267170	BHM00252	3466213	5
WTCHG_487926_268158	487926	268158	BHM00253	3569458	5
